country_code,year,NY.GDP.MKTP.KD.ZG,FP.CPI.TOTL.ZG,BN.CAB.XOKA.GD.ZS,FI.RES.TOTL.MO,GC.DOD.TOTL.GD.ZS,NY.GNS.ICTR.ZS,country_name,score_NY.GDP.MKTP.KD.ZG,score_FP.CPI.TOTL.ZG,score_BN.CAB.XOKA.GD.ZS,score_FI.RES.TOTL.MO,score_GC.DOD.TOTL.GD.ZS,score_NY.GNS.ICTR.ZS,composite_score,rank,credit_band
IDN,2014,5.006668425755,6.39492882396559,-3.08816907525921,5.74432339947261,,30.6689094593309,Indonesia,7.499180757749579,0.0,0.0,1.2889546899131479,,1.6071860231450779,2.417821573135812,5,CCC
IDN,2015,4.87632230022123,6.36312061196646,-2.03504192745969,6.44616105766404,,30.1233564897489,Indonesia,5.634041596488417,0.0,0.0,2.2977284424021307,,1.2995137709070368,2.082993314117573,5,CCC
IDN,2016,5.03306918280177,3.52580452815451,-1.81915089251384,7.22588805609531,,29.9227683259243,Indonesia,4.302053904778005,0.0,0.0,5.022300881546022,,0.9125820651120415,2.188304028692888,5,CCC
IDN,2017,5.06978590134916,3.80879857691949,-1.59465689989364,7.08716242011101,,30.8783634343379,Indonesia,3.2401209675263756,0.18941798709293928,0.0,4.8556174668024585,,1.3906237221685347,2.0167163373935812,5,CCC
IDN,2018,5.17429153955024,3.19834755924996,-2.93907291477017,5.59560758848402,,31.6805227940956,Indonesia,6.300350220075923,4.334199796988091,0.0,2.3840980867993444,,3.6304279378674913,3.515473646579279,5,B
IDN,2019,5.01928768046282,3.03058460941661,-2.7056619813955,6.31777434419502,,30.9027135119119,Indonesia,7.7836809791977135,0.0,0.0,3.7030121954956376,,4.116750092060996,3.4121256737162975,5,B
IDN,2020,-2.06551182934165,1.91983527270793,-0.418606247736126,8.40697484639797,,29.2246087288697,Indonesia,10.0,1.3401621555505823,0.0,3.5537549973294413,,2.9593121591263545,3.9724804960011952,4,B
IDN,2021,3.70288562827751,1.56007882983334,0.295885914526078,6.78517585393017,,32.9372955843682,Indonesia,2.4984593744361066,8.77960985795814,1.1394085973803467,3.5726349172719587,,5.31671666220034,4.151184225136048,4,BB
IDN,2022,5.30719722664799,4.20946463714784,1.00182875104005,5.21322077470096,,37.0041185901717,Indonesia,4.174849683041566,6.9815084667053595,2.3541717788617107,4.634206572082995,,7.471977948178624,5.06406206435327,3,BBB
IDN,2023,5.04883117855516,3.66938654859761,-0.148899596516736,5.72806559441344,,35.8619339722029,Indonesia,8.844543492738792,4.861381480651483,1.3966785153832217,4.285756076681918,,8.562205646683214,5.793514945572166,2,BBB
IDN,2024,5.03257477088519,2.18151273615189,-0.614730078804115,5.72012468838059,,34.6828714970206,Indonesia,7.533858879770837,3.663797613181365,1.6051694691888412,4.69853955276293,,6.621362795387267,4.993877738165284,4,BB
MYS,2014,6.00672194558203,3.14299050879095,4.39159166153878,5.67002202010292,52.6758487332831,29.3665669513565,Malaysia,9.363728251416136,6.065058414998659,3.555292662139514,1.1347090063230025,7.308384219032403,0.9497682764643186,5.090146748078531,3,BBB
MYS,2015,5.09153242155011,2.10438980238359,3.00891850128321,5.50777041074817,53.5744697326154,28.3991476426936,Malaysia,6.272361209278734,5.864999256831277,2.4333967589790535,0.20406479836387945,7.4637911981135066,0.22204429969804612,4.055906248559286,4,BB
MYS,2016,4.44978139761541,2.09056659525742,2.36768591329055,5.64270997827513,51.8905275342534,28.3850019206649,Malaysia,2.731669345024917,3.5388915976457818,2.109687973376223,0.15976461821585144,7.95082447218814,0.0,3.00775039182829,4,B
MYS,2017,5.81272240983328,3.87120115774237,2.807870911226,5.50760741130421,50.0496777374929,28.3359876066459,Malaysia,5.938463103811909,0.0,2.19213877387184,0.06010691699988353,8.21861810260981,0.0,3.1692530949151028,4,B
MYS,2018,4.84308697634881,0.884709160571235,2.23708206947011,4.91023691554348,51.1859148831795,26.1283247399226,Malaysia,5.250532575553985,9.084448758244925,2.780561044030665,0.00353763786218822,8.169645352099115,0.0,4.464317701551287,4,BB
MYS,2019,4.41318742129586,0.662891865764326,3.50388669683419,5.26575125943776,52.4213502119727,24.546150625052,Malaysia,6.561642116633936,9.61400183133207,3.4194820516587314,1.1390700585002669,8.454047220605485,0.0,5.1290209586715445,3,BBB
MYS,2020,-5.45684658426701,-1.1387021539305,4.18956779359845,6.26880997379088,62.0067215086738,23.8210614819294,Malaysia,5.44957260210916,10.0,2.543686643377589,0.0,8.26982051681399,0.0,4.625431620291268,3,BB
MYS,2021,3.31534954399166,2.47710241465447,3.87747951420626,5.18620609619313,63.2668366732951,26.0099609240741,Malaysia,2.04691730045534,5.378357450558597,2.8134719630634537,0.0,8.098352261510923,2.424492226516349,3.6215021584140126,5,B
MYS,2022,9.03173723044451,3.37869862549928,3.1234711057235,4.32861908087948,60.1479261322487,26.7807789507514,Malaysia,10.0,10.0,3.259357244536594,2.209763527748953,8.467437043528111,2.2148230972235217,6.346078989131983,1,A
MYS,2023,3.5370638041057,2.48886560125754,1.56447203150546,4.77774044018093,64.2816241956596,23.8583516969162,Malaysia,5.128924026044243,7.3472459437923625,2.287863583105552,1.4088695038774144,8.398184794127532,0.0,4.362018618650654,4,BB
MYS,2024,5.10545921024041,1.834100204499,1.69342393177115,4.45057833503037,64.566529006102,23.3780820262118,Malaysia,7.797346256383992,4.898264604438913,2.692774099065413,0.8206119958624033,8.300265632288651,0.0,4.481269982639538,5,BB
PHL,2014,6.34798748260867,3.59782343864211,3.6156391335833,9.94050359217836,43.426338941462,37.3474479713157,Philippines,10.0,5.216767942900904,3.186465579845741,10.0,8.748684289305949,4.978487898639123,7.2569950710690545,1,AA
PHL,2015,6.34830971672761,0.674192536845408,2.37094985955594,9.89835817167378,43.426338941462,35.6348333700962,Philippines,10.0,7.834625014962994,2.1256166233017564,10.0,8.986385293861773,4.743671994541253,7.502864103693255,1,AA
PHL,2016,7.14945675000752,1.25369880080982,-0.376262661565376,8.8465616501929,43.426338941462,35.0547724231085,Philippines,10.000000000000002,5.602371344263741,0.727051014631853,10.0,9.140114080517115,3.958151848112865,6.871158947154692,1,A
PHL,2017,6.9309883258402,2.85318772590947,-0.652387929422697,7.78302270131783,43.426338941462,35.4886316753905,Philippines,10.0,3.0900974374550443,0.4691814417091301,6.968241149491849,9.144502914613616,3.912339163188942,5.994879461699468,2,BBB
PHL,2018,6.34148557153473,5.30934661627707,-2.55939306312468,6.88316024492647,43.426338941462,33.8070507208738,Philippines,10.0,0.0,0.20395892470436588,6.856272124682032,9.239494331626753,5.020905424568192,5.660069337418539,2,BBB
PHL,2019,6.11852566221303,2.39206534422404,-0.808557862529767,7.72024557926384,43.426338941462,31.7551872075089,Philippines,10.0,2.592703551320128,1.044699674765843,7.121050399806127,9.462182710506466,4.668844239054034,6.206531221843214,2,A
PHL,2020,-9.51829474045297,2.3931623931624,3.20065009232565,12.2854455443743,43.426338941462,24.8181733606399,Philippines,0.0,0.0,1.9978095290230329,10.0,9.999999999999998,0.5460793015825188,3.881583324590833,5,B
PHL,2021,5.71473313185116,3.92718022100332,-1.50797765976295,9.66180966264431,43.426338941462,20.2029188331693,Philippines,4.842586363206026,0.0,0.2962694074183419,10.0,10.0,0.0,4.512957683753957,3,BB
PHL,2022,7.58098212785563,5.82115811213955,-4.51605763317134,7.17102711134574,43.426338941462,22.4737175447068,Philippines,7.73103080190829,1.1256079600453819,0.0,10.0,10.0,0.0,5.2150473543884655,2,BBB
PHL,2023,5.51894967856043,5.97802515541409,-2.834121138482,7.61565817073656,43.426338941462,27.3405418997346,Philippines,10.0,0.0,0.0,10.0,10.0,2.483860895324647,5.872579134298697,1,BBB
PHL,2024,5.71474526128652,3.21260487006347,-4.0212789718349,7.34350984657376,43.426338941462,29.1320470859788,Philippines,10.0,0.0,0.0,9.657295114391452,10.0,3.370172462837886,5.954120136584401,1,BBB
SGP,2014,3.93554027709007,1.03316955857629,17.9502135491878,5.12342361688902,99.6097986729595,47.2950477994746,Singapore,5.50211833519611,10.0,10.0,0.0,0.0,10.0,5.600423667039222,2,BBB
SGP,2015,2.97679931634806,-0.521975611895763,18.6930222903094,5.41630753480116,103.320839751929,44.0462153091754,Singapore,0.0,9.481952732325661,10.0,0.0,0.0,10.0,4.422292909848849,3,BB
SGP,2016,3.91095306322606,-0.529809760375464,18.0266123608265,5.59069271249593,108.476641908311,45.2357210400528,Singapore,1.2809828774312964,10.0,10.0,0.0,0.0,10.0,4.756196575486259,3,BB
SGP,2017,4.32679370770501,0.576763191179996,18.4885963302097,5.48780927285261,108.841755783324,46.6182575489954,Singapore,0.5415765829841478,10.0,10.0,0.0,0.0,10.0,4.60831531659683,3,BB
SGP,2018,3.18660848474074,0.438784215129623,15.6764327413725,4.90921841872551,110.440057046779,41.4218332441414,Singapore,0.0,10.0,10.0,0.0,0.0,10.0,4.5,3,BB
SGP,2019,1.15877947300108,0.567829988405447,15.4536632743623,4.79837409853881,127.851935478091,39.9868811642176,Singapore,0.0,10.0,10.0,0.0,0.0,10.0,4.5,4,BB
SGP,2020,-3.61084281729929,-0.172111865925382,17.6975168735289,6.5266318785032,150.816252807492,42.0805317790255,Singapore,7.926504761525105,7.263229449723024,10.0,0.4285150757224932,0.0,10.0,5.739062631121849,2,BBB
SGP,2021,10.1410845197192,2.31610315765146,19.2527773366463,5.86539457353699,147.759530258993,44.1544994049441,Singapore,10.0,5.97550578952726,10.0,1.5175349363715098,0.0,10.0,6.123956108884816,1,A
SGP,2022,4.01027884472296,6.13095418919732,18.9227008880076,3.52234707372305,152.534986779861,41.9202431450759,Singapore,2.1464798666779172,0.0,10.0,0.0,0.0,10.0,3.4292959733355834,5,B
SGP,2023,1.45026775889565,4.83372362825798,16.3916456531586,4.31234700367134,173.624161872218,37.8776158568895,Singapore,0.0,2.409595956670291,10.0,0.0,0.0,10.0,3.3614393935005435,5,B
SGP,2024,5.3435120192366,2.38951123595017,17.2010838902762,4.1819284049901,167.799832036767,40.4512885852667,Singapore,8.657940241776386,2.924712926136713,10.0,0.0,0.0,10.0,5.170294987275784,3,BBB
THA,2014,0.984468863619426,1.89455652481545,2.85828409870041,6.66361179348732,35.3904739452699,27.4850789547057,Thailand,0.0,8.393462064215564,2.8264782897568015,3.197348153859098,10.0,0.0,4.16259327617472,4,BB
THA,2015,3.13404724911635,-0.898143410569433,6.91581517168623,7.354632050016,36.6705695355179,28.043823657924,Thailand,0.46640203972257593,10.0,4.318231073151933,4.324637698799671,10.0,0.0,4.889710723737256,2,BB
THA,2016,3.43515771692182,0.186235191075453,10.5083543932086,8.34136438746495,37.3065204045664,30.0765044478694,Thailand,0.0,8.23443527784182,6.2116559229071395,8.448348897344436,10.0,1.0038162260139447,5.5847384486161005,2,BBB
THA,2017,4.1776810321001,0.664415139830893,9.63103019182141,8.78162959167524,37.3065204045664,31.9424672317789,Thailand,0.0,9.733939598983074,5.589576032875271,10.0,10.0,1.9726651211832615,6.09442711295624,1,A
THA,2018,4.22287028746071,1.06683487370758,5.61986314598972,7.78824916649138,37.9104188436045,31.6865849444729,Thailand,3.2846344697790646,8.710517170604373,4.597745674416127,10.0,10.0,3.634391809451064,6.698325092126547,1,A
THA,2019,2.11455779628278,0.705524801910317,7.04854832033554,8.90152084891791,38.6277055941279,31.7166115590555,Thailand,1.9270710371442676,9.440891056177026,5.371460758784668,10.0,10.0,4.643861192846763,6.803846158600122,1,A
THA,2020,-6.09306312966953,-0.846087518861799,4.1441730948501,12.2043932728337,50.3415889301099,28.2586166665329,Thailand,4.595909543637421,9.17150097018994,2.518629020151864,9.865286387068412,9.356061501522877,2.4302759677038543,6.388248060799171,1,A
THA,2021,1.55858232076893,1.23104516549814,-2.14183455857728,9.01100320674599,58.5282063695337,27.6338609938632,Thailand,0.0,10.0,0.0,8.545880022134394,8.55253469798406,3.102485090044841,4.957761706423697,2,BB
THA,2022,2.63784213566305,6.07589952842433,-3.42866250197224,7.11722437680349,60.3442670368319,26.4000592714881,Thailand,0.0,0.20003469699237023,0.46393034435528874,9.852541922044484,8.449442053353364,2.019045359293784,3.570221259073562,4,B
THA,2023,2.24883437970568,1.22908986612448,1.64003832144024,7.56658893215616,60.993475200655,25.6220712409329,Thailand,1.962715780140965,10.0,2.3271682780775294,9.851454385921521,8.650735022771014,1.2580685575868777,5.638193843820285,3,BBB
THA,2024,2.94859986593323,0.398333333333422,2.19482817825998,7.45570372627258,61.861415782411,24.0895812398268,Thailand,0.0,10.0,2.9290363144212725,10.0,8.517764808067056,0.4167343791888059,5.205418565654923,2,BBB
