country_code,year,NY.GDP.MKTP.KD.ZG,FP.CPI.TOTL.ZG,BN.CAB.XOKA.GD.ZS,FI.RES.TOTL.MO,GC.DOD.TOTL.GD.ZS,NY.GNS.ICTR.ZS,DT.DOD.DECT.GD.ZS,NY.GDP.PCAP.CD,FR.INR.RINR,GC.BAL.CASH.GD.ZS,country_name
IDN,2005,5.69257130383384,10.4532001873347,0.0970882462390686,4.10478485517762,34.2250282105616,24.3384866318462,,1238.21447629488,-0.245735467014772,,Indonesia
IDN,2006,5.50095178520348,13.108670985346,2.97870868013903,4.91547534687069,34.2250282105616,25.7771435873662,,1558.31562847163,1.65815142163521,,Indonesia
IDN,2007,6.34502222667214,6.40656087966005,2.42726412696792,5.67712529732221,34.2250282105616,25.1791234447947,,1823.21976255073,2.3396740908807,,Indonesia
IDN,2008,6.01370360009123,10.2266663272483,0.0246933252771075,4.00096264531685,34.2250282105616,28.45241261442,,2124.55483920618,-3.85224502633452,,Indonesia
IDN,2009,4.62887118256153,4.38641311792074,1.9697705622352,6.54684575689915,29.997306381567,29.0563767984661,,2218.48541852977,5.7479520957843,,Indonesia
IDN,2010,6.22385418062366,5.13420639015885,0.681277286848337,6.86991432991074,29.997306381567,32.7274229888351,,3065.68348377765,-1.74609753559601,,Indonesia
IDN,2011,6.16978420771008,5.35604849112582,0.188703954012605,6.05969044940623,29.997306381567,33.2200730493007,,3579.46442466152,4.59437674883757,,Indonesia
IDN,2012,6.03005065305615,4.2795142691943,-2.66027359471414,5.58937942738163,29.997306381567,31.9853697689232,,3632.27254030331,7.75018856489028,,Indonesia
IDN,2013,5.5572636889101,6.41249457900391,-3.18996482895809,4.95031846769598,29.997306381567,31.1217666400168,,3566.60284506078,6.37493124212137,,Indonesia
IDN,2014,5.006668425755,6.39492882396559,-3.08816907525921,5.74432339947261,29.997306381567,30.6689094593309,,3441.06808464008,6.79211858069728,,Indonesia
IDN,2015,4.87632230022123,6.36312061196646,-2.03504192745969,6.44616105766404,29.997306381567,30.1233564897489,,3288.22269725538,8.34991063469474,,Indonesia
IDN,2016,5.03306918280177,3.52580452815451,-1.81915089251384,7.22588805609531,29.997306381567,29.9227683259243,,3521.46943457574,9.2244323441321,,Indonesia
IDN,2017,5.06978590134916,3.80879857691949,-1.59465689989364,7.08716242011101,29.997306381567,30.8783634343379,,3798.88326174526,6.50156399609039,,Indonesia
IDN,2018,5.17429153955024,3.19834755924996,-2.93907291477017,5.59560758848402,29.997306381567,31.6805227940956,,3860.95353090726,6.47124983937938,,Indonesia
IDN,2019,5.01928768046282,3.03058460941661,-2.7056619813955,6.31777434419502,29.997306381567,30.9027135119119,,4106.94856160358,8.62940479031397,,Indonesia
IDN,2020,-2.06551182934165,1.91983527270793,-0.418606247736126,8.40697484639797,29.997306381567,29.2246087288697,,3853.70288774146,9.98592671987596,,Indonesia
IDN,2021,3.70288562827751,1.56007882983334,0.295885914526078,6.78517585393017,29.997306381567,32.9372955843682,,4287.17313995098,2.7532239499583,,Indonesia
IDN,2022,5.30719722664799,4.20946463714784,1.00182875104005,5.21322077470096,29.997306381567,37.0041185901717,,4730.83484836107,-0.957376340510307,,Indonesia
IDN,2023,5.04883117855516,3.66938654859761,-0.148899596516736,5.72806559441344,29.997306381567,35.8619339722029,,4876.2992959843,7.2850532563888,,Indonesia
IDN,2024,5.03257477088519,2.18151273615189,-0.614730078804115,5.72012468838059,29.997306381567,34.6828714970206,,4925.43644992666,7.83615232511325,,Indonesia
MYS,2005,5.33213916141486,2.97507092684449,13.9199700905602,5.94300135813711,42.0675597614326,36.8157549507862,,5555.58179951206,-2.67317410418221,,Malaysia
MYS,2006,5.5848470671515,3.60923564224389,16.1037222225662,6.20407077455397,40.5883961366256,38.7964745148433,,6158.40785533236,2.40900097691566,,Malaysia
MYS,2007,6.29878592740947,2.02735317779569,15.3811208611024,6.70420376771245,40.0881257702829,38.7668425775513,,7168.93031942508,1.45673534665713,,Malaysia
MYS,2008,4.83176988913097,5.44078221100769,16.8597967039906,5.58926321544649,39.7997028374607,38.5177080119428,,8371.82156086005,-3.90338193758431,,Malaysia
MYS,2009,-1.51352871598714,0.583308405623702,15.7230105263055,7.24461462096015,50.8357455983458,33.3634416267683,,7191.43287234626,11.7823929563059,,Malaysia
MYS,2010,7.42484738326097,1.62285235577035,10.0556778509323,6.34115209858422,49.5598230655171,33.4664682988521,,8899.34505544675,-2.11327732642702,,Malaysia
MYS,2011,5.29391283414003,3.1744709215131,10.905001967915,6.91559543869623,50.0286816425423,34.0818029856008,,10217.1068585031,-0.471868633960644,,Malaysia
MYS,2012,5.47345419253853,1.66357102479206,5.18877994987763,6.96382782004854,51.6464316160996,30.9153494882722,,10600.5744240026,3.7484193736755,,Malaysia
MYS,2013,4.69372252557893,2.10501231233612,3.46614353655813,6.66725243910911,52.9992519246741,29.4198401146816,,10713.6407638899,4.46753081745693,,Malaysia
MYS,2014,6.00672194558203,3.14299050879095,4.39159166153878,5.67002202010292,52.6758487332831,29.3665669513565,,11013.3107334403,2.06851821643173,,Malaysia
MYS,2015,5.09153242155011,2.10438980238359,3.00891850128321,5.50777041074817,53.5744697326154,28.3991476426936,,9648.6797937523,3.30703770408129,,Malaysia
MYS,2016,4.44978139761541,2.09056659525742,2.36768591329055,5.64270997827513,51.8905275342534,28.3850019206649,,9476.53409809923,2.82594518260627,,Malaysia
MYS,2017,5.81272240983328,3.87120115774237,2.807870911226,5.50760741130421,50.0496777374929,28.3359876066459,,9862.54806612235,0.798926040327277,,Malaysia
MYS,2018,4.84308697634881,0.884709160571235,2.23708206947011,4.91023691554348,51.1859148831795,26.1283247399226,,10901.8019954421,4.27704807389124,,Malaysia
MYS,2019,4.41318742129586,0.662891865764326,3.50388669683419,5.26575125943776,52.4213502119727,24.546150625052,,10920.191763972,4.80161718618398,,Malaysia
