country_code,year,NY.GDP.MKTP.KD.ZG,FP.CPI.TOTL.ZG,BN.CAB.XOKA.GD.ZS,FI.RES.TOTL.MO,GC.DOD.TOTL.GD.ZS,NY.GNS.ICTR.ZS,country_name
IDN,2014,5.006668425755,6.39492882396559,-3.08816907525921,5.74432339947261,,30.6689094593309,Indonesia
IDN,2015,4.87632230022123,6.36312061196646,-2.03504192745969,6.44616105766404,,30.1233564897489,Indonesia
IDN,2016,5.03306918280177,3.52580452815451,-1.81915089251384,7.22588805609531,,29.9227683259243,Indonesia
IDN,2017,5.06978590134916,3.80879857691949,-1.59465689989364,7.08716242011101,,30.8783634343379,Indonesia
IDN,2018,5.17429153955024,3.19834755924996,-2.93907291477017,5.59560758848402,,31.6805227940956,Indonesia
IDN,2019,5.01928768046282,3.03058460941661,-2.7056619813955,6.31777434419502,,30.9027135119119,Indonesia
IDN,2020,-2.06551182934165,1.91983527270793,-0.418606247736126,8.40697484639797,,29.2246087288697,Indonesia
IDN,2021,3.70288562827751,1.56007882983334,0.295885914526078,6.78517585393017,,32.9372955843682,Indonesia
IDN,2022,5.30719722664799,4.20946463714784,1.00182875104005,5.21322077470096,,37.0041185901717,Indonesia
IDN,2023,5.04883117855516,3.66938654859761,-0.148899596516736,5.72806559441344,,35.8619339722029,Indonesia
IDN,2024,5.03257477088519,2.18151273615189,-0.614730078804115,5.72012468838059,,34.6828714970206,Indonesia
MYS,2014,6.00672194558203,3.14299050879095,4.39159166153878,5.67002202010292,52.6758487332831,29.3665669513565,Malaysia
MYS,2015,5.09153242155011,2.10438980238359,3.00891850128321,5.50777041074817,53.5744697326154,28.3991476426936,Malaysia
MYS,2016,4.44978139761541,2.09056659525742,2.36768591329055,5.64270997827513,51.8905275342534,28.3850019206649,Malaysia
MYS,2017,5.81272240983328,3.87120115774237,2.807870911226,5.50760741130421,50.0496777374929,28.3359876066459,Malaysia
MYS,2018,4.84308697634881,0.884709160571235,2.23708206947011,4.91023691554348,51.1859148831795,26.1283247399226,Malaysia
MYS,2019,4.41318742129586,0.662891865764326,3.50388669683419,5.26575125943776,52.4213502119727,24.546150625052,Malaysia
MYS,2020,-5.45684658426701,-1.1387021539305,4.18956779359845,6.26880997379088,62.0067215086738,23.8210614819294,Malaysia
MYS,2021,3.31534954399166,2.47710241465447,3.87747951420626,5.18620609619313,63.2668366732951,26.0099609240741,Malaysia
MYS,2022,9.03173723044451,3.37869862549928,3.1234711057235,4.32861908087948,60.1479261322487,26.7807789507514,Malaysia
MYS,2023,3.5370638041057,2.48886560125754,1.56447203150546,4.77774044018093,64.2816241956596,23.8583516969162,Malaysia
MYS,2024,5.10545921024041,1.834100204499,1.69342393177115,4.45057833503037,64.566529006102,23.3780820262118,Malaysia
PHL,2014,6.34798748260867,3.59782343864211,3.6156391335833,9.94050359217836,43.426338941462,37.3474479713157,Philippines
PHL,2015,6.34830971672761,0.674192536845408,2.37094985955594,9.89835817167378,,35.6348333700962,Philippines
PHL,2016,7.14945675000752,1.25369880080982,-0.376262661565376,8.8465616501929,,35.0547724231085,Philippines
PHL,2017,6.9309883258402,2.85318772590947,-0.652387929422697,7.78302270131783,,35.4886316753905,Philippines
PHL,2018,6.34148557153473,5.30934661627707,-2.55939306312468,6.88316024492647,,33.8070507208738,Philippines
PHL,2019,6.11852566221303,2.39206534422404,-0.808557862529767,7.72024557926384,,31.7551872075089,Philippines
PHL,2020,-9.51829474045297,2.3931623931624,3.20065009232565,12.2854455443743,,24.8181733606399,Philippines
PHL,2021,5.71473313185116,3.92718022100332,-1.50797765976295,9.66180966264431,,20.2029188331693,Philippines
PHL,2022,7.58098212785563,5.82115811213955,-4.51605763317134,7.17102711134574,,22.4737175447068,Philippines
PHL,2023,5.51894967856043,5.97802515541409,-2.834121138482,7.61565817073656,,27.3405418997346,Philippines
PHL,2024,5.71474526128652,3.21260487006347,-4.0212789718349,7.34350984657376,,29.1320470859788,Philippines
SGP,2014,3.93554027709007,1.03316955857629,17.9502135491878,5.12342361688902,99.6097986729595,47.2950477994746,Singapore
SGP,2015,2.97679931634806,-0.521975611895763,18.6930222903094,5.41630753480116,103.320839751929,44.0462153091754,Singapore
SGP,2016,3.91095306322606,-0.529809760375464,18.0266123608265,5.59069271249593,108.476641908311,45.2357210400528,Singapore
SGP,2017,4.32679370770501,0.576763191179996,18.4885963302097,5.48780927285261,108.841755783324,46.6182575489954,Singapore
SGP,2018,3.18660848474074,0.438784215129623,15.6764327413725,4.90921841872551,110.440057046779,41.4218332441414,Singapore
SGP,2019,1.15877947300108,0.567829988405447,15.4536632743623,4.79837409853881,127.851935478091,39.9868811642176,Singapore
SGP,2020,-3.61084281729929,-0.172111865925382,17.6975168735289,6.5266318785032,150.816252807492,42.0805317790255,Singapore
SGP,2021,10.1410845197192,2.31610315765146,19.2527773366463,5.86539457353699,147.759530258993,44.1544994049441,Singapore
SGP,2022,4.01027884472296,6.13095418919732,18.9227008880076,3.52234707372305,152.534986779861,41.9202431450759,Singapore
SGP,2023,1.45026775889565,4.83372362825798,16.3916456531586,4.31234700367134,173.624161872218,37.8776158568895,Singapore
SGP,2024,5.3435120192366,2.38951123595017,17.2010838902762,4.1819284049901,167.799832036767,40.4512885852667,Singapore
THA,2014,0.984468863619426,1.89455652481545,2.85828409870041,6.66361179348732,35.3904739452699,27.4850789547057,Thailand
THA,2015,3.13404724911635,-0.898143410569433,6.91581517168623,7.354632050016,36.6705695355179,28.043823657924,Thailand
THA,2016,3.43515771692182,0.186235191075453,10.5083543932086,8.34136438746495,37.3065204045664,30.0765044478694,Thailand
THA,2017,4.1776810321001,0.664415139830893,9.63103019182141,8.78162959167524,,31.9424672317789,Thailand
THA,2018,4.22287028746071,1.06683487370758,5.61986314598972,7.78824916649138,37.9104188436045,31.6865849444729,Thailand
THA,2019,2.11455779628278,0.705524801910317,7.04854832033554,8.90152084891791,38.6277055941279,31.7166115590555,Thailand
THA,2020,-6.09306312966953,-0.846087518861799,4.1441730948501,12.2043932728337,50.3415889301099,28.2586166665329,Thailand
THA,2021,1.55858232076893,1.23104516549814,-2.14183455857728,9.01100320674599,58.5282063695337,27.6338609938632,Thailand
THA,2022,2.63784213566305,6.07589952842433,-3.42866250197224,7.11722437680349,60.3442670368319,26.4000592714881,Thailand
THA,2023,2.24883437970568,1.22908986612448,1.64003832144024,7.56658893215616,60.993475200655,25.6220712409329,Thailand
THA,2024,2.94859986593323,0.398333333333422,2.19482817825998,7.45570372627258,61.861415782411,24.0895812398268,Thailand
